source,Exchange,Bloomberg,MicrosoftTeams,NTR-X,Symphony,SMS,Reuters,Lotus
Source/Type,11-01-2025,11-02-2025,11-03-2025,11-04-2025,11-05-2025,11-06-2025,11-07-2025
Exchange,123531,187903,238371,175473,83213,136101,52267
email,91348,148261,186173,135063,66977,106718,37929
attachment,32183,39642,52198,40410,16236,29383,14338
Bloomberg,259630,179420,80954,98490,151634,143733,101916
email,258093,178084,80287,93796,103149,140059,81140
chat,0,0,0,3604,46416,2357,19617
attachment,1537,1336,667,1090,2069,1317,1159
MicrosoftTeams,80327,39632,26501,59246,59493,1043,13762
chat,52350,15833,20404,48345,49357,676,11059
attachment,27977,23799,6097,10901,10136,367,2703
NTR-X,0,0,0,0,0,131637,6834
voice,0,0,0,0,0,131637,6834
Symphony,0,0,0,327,438,0,221
chat,0,0,0,300,425,0,216
attachment,0,0,0,27,13,0,5
SMS,533,102,11,0,0,960,99
email,533,101,11,0,0,957,99
attachment,0,1,0,0,0,3,0
Reuters,0,0,7,4,1,0,0
chat,0,0,7,4,1,0,0
attachment,0,0,0,0,0,0,0
Lotus,37168,27530,8563,0,0,90397,46839
email,32558,24082,8328,0,0,79946,41075
attachment,4610,3448,235,0,0,10451,5764
