Hour,Email,Chat,Voice,VoiceTrans_Ingestion,Attachment,Total
00:00-01:00,26458,2243,378,189,1555,30823
01:00-02:00,17845,1340,522,104,2558,22469
02:00-03:00,13864,2134,129,212,1711,18050
03:00-04:00,22311,1985,348,310,2865,27819
04:00-05:00,15322,1121,517,74,2032,19066
05:00-06:00,16844,1508,297,97,2479,21225
06:00-07:00,29566,2840,548,364,2624,35942
07:00-08:00,18522,2634,576,129,1830,23691
08:00-09:00,20789,2511,495,251,2095,26141
09:00-10:00,23145,1788,356,332,2459,28080
10:00-11:00,14367,872,497,178,1897,17811
11:00-12:00,27664,1321,229,340,2601,32155
12:00-13:00,10943,110,81,16,1033,12229
TOTAL,246640,22207,4973,2696,26039,301555
