Hour,Email,Chat,Voice,VoiceTrans_Ingestion,Attachment,Total
00:00-01:00,186,154,11,0,28,379
01:00-02:00,168,0,0,11,34,202
02:00-03:00,616,109,11,0,60,796
03:00-04:00,203,62,0,11,18,283
04:00-05:00,224,0,10,0,21,255
05:00-06:00,216,30,0,9,46,292
06:00-07:00,554,0,0,0,51,605
07:00-08:00,862,56,0,0,118,1036
08:00-09:00,1911,0,0,0,410,2321
09:00-10:00,4215,228,1,0,1249,5693
10:00-11:00,5976,97,0,1,1105,7178
11:00-12:00,4567,259,0,1,674,5500
12:00-13:00,4503,553,0,0,952,6008
13:00-14:00,7902,951,193,584,1288,10334
14:00-15:00,4496,1067,0,30,902,6465
15:00-16:00,4903,800,321,186,912,6936
16:00-17:00,5120,728,481,8,853,7182
17:00-18:00,7227,1150,0,219,1057,9434
18:00-19:00,6253,994,400,165,1238,8885
19:00-20:00,123,500,15,19,22,660
20:00-21:00,0,0,0,0,0,0
21:00-22:00,0,0,0,0,0,0
22:00-23:00,0,0,0,0,0,0
23:00-24:00,0,0,0,0,0,0
TOTAL,60225,7738,1443,1244,11038,80444
