Service Name,Status,Last Seen
Nice.Common.Service.DataAcquisition.service,active,Running
connectors.service,active,Running
connectorsClonedInstance.service,unknown,Not managed
dataprocessing,inactive,8 months 5 days ago
Nice.Common.Service.Reconciliation.service,active,Running
rabbitmq-server.service,active,Running
Nice.Common.Service.MetadataIngestion.service,active,Running
Nice.EmployeeRandomSampling.service,inactive,8 months 5 days ago
Nice.GenericIngestService.service,inactive,8 months 5 days ago
move-processed-emails-to-s3.service,active,Running
