Source/Type,11-20-2025,11-21-2025,11-22-2025,11-23-2025,11-24-2025,11-25-2025,11-26-2025
Exchange,88493,73011,27173,5232,71247,108075,8528
email,73193,59080,22920,4430,60209,89467,6832
attachment,15300,13931,4253,802,11038,18608,1696
Bloomberg,51158,79263,69389,721,0,80454,51332
email,50247,74372,64770,544,0,74332,41843
chat,850,4889,4600,177,0,6107,9466
attachment,61,2,19,0,0,15,23
MicrosoftTeams,0,0,0,0,0,0,0
chat,0,0,0,0,0,0,0
attachment,0,0,0,0,0,0,0
NTR-X,12283,14068,13569,11106,9085,6875,157
voice,2590,4040,2141,353,1428,4872,115
Symphony,8,0,0,17,16,0,1
chat,0,0,0,0,0,0,0
attachment,0,0,0,0,0,0,0
SMS,0,0,0,0,0,0,0
email,0,0,0,0,0,0,0
attachment,0,0,0,0,0,0,0
Reuters,9,15,0,0,10,9,0
chat,9,15,0,0,10,9,0
attachment,0,0,0,0,0,0,0
Lotus,0,0,0,0,0,0,0
email,0,0,0,0,0,0,0
attachment,0,0,0,0,0,0,0
