Source/Type,11-20-2025,11-21-2025,11-22-2025,11-23-2025,11-24-2025,11-25-2025,11-26-2025
Exchange,95985,85314,6240,4581,81423,100656,5533
email,79272,69483,5706,3775,68306,83537,4462
attachment,16713,15831,534,806,13117,17119,1071
Bloomberg,67641,56776,0,0,0,0,0
email,59472,52110,0,0,0,0,0
chat,8164,4641,0,0,0,0,0
attachment,5,25,0,0,0,0,0
MicrosoftTeams,0,0,0,0,0,0,0
chat,0,0,0,0,0,0,0
attachment,0,0,0,0,0,0,0
NTR-X,15203,13280,508,156,3158,3224,14
voice,4530,4087,273,145,3158,3224,14
Symphony,9,8,0,1,0,0,0
chat,0,0,0,0,0,0,0
attachment,0,0,0,0,0,0,0
SMS,0,0,0,0,0,0,0
email,0,0,0,0,0,0,0
attachment,0,0,0,0,0,0,0
Reuters,15,10,0,0,9,0,0
chat,15,10,0,0,9,0,0
attachment,0,0,0,0,0,0,0
Lotus,0,0,0,0,0,0,0
email,0,0,0,0,0,0,0
attachment,0,0,0,0,0,0,0
