Hour,Email,Chat,Voice,VoiceTrans_Ingestion,Attachment,Total
00:00-01:00,7846,0,0,794,5580,13426
01:00-02:00,7094,232,78,759,4695,12099
02:00-03:00,6120,0,88,757,4168,10376
03:00-04:00,4914,0,0,533,4395,9309
04:00-05:00,4898,0,89,500,2816,7803
05:00-06:00,28835,1,0,650,3674,32510
06:00-07:00,15109,1,0,413,4284,19394
07:00-08:00,17473,0,0,205,6761,24234
08:00-09:00,26025,654,0,466,7051,33730
09:00-10:00,16108,0,0,354,5353,21461
10:00-11:00,10979,0,0,510,5954,16933
11:00-12:00,8957,13,0,324,5969,14939
12:00-13:00,1255,1,0,1303,705,1961
13:00-14:00,672,0,0,1349,239,911
14:00-15:00,8207,0,0,287,4701,12908
15:00-16:00,444,0,0,19,219,663
16:00-17:00,10781,0,0,446,5367,16148
17:00-18:00,6931,0,0,251,3996,10927
18:00-19:00,10949,0,0,209,3703,14652
19:00-20:00,6202,0,0,139,4695,10897
20:00-21:00,201,0,0,3,105,306
21:00-22:00,105,0,0,2,73,178
22:00-23:00,2300,13652,0,689,1254,17206
23:00-24:00,0,2331,0,786,52,2383
TOTAL,202405,16885,255,11748,85809,305354
